TreeID,weight,diameter
1,140.36,68
1,141.03,69
1,143.71,71
1,148.44,70
1,161.65,73
1,137.93,70
1,143.89,70
1,122.71,67
1,119.31,65
1,138.95,69
1,148.8,71
1,145.62,71
1,132.8,68
1,150.63,71
1,158.99,72
1,154.75,72
1,139.05,68
1,123.11,67
1,126.61,67
1,131.14,68
1,114.94,66
1,122.66,67
1,126.39,67
1,131.88,68
1,108.9,63
1,132.43,68
1,113.82,63
1,99.98,63
1,72.06,54
1,124.09,65
1,107.92,64
1,106.72,61
1,132.63,68
1,68.08,53
1,142.98,70
1,143.47,69
1,151.89,71
1,86.7,57
1,97.1,60
1,146.42,70
1,139.56,70
1,117.06,66
1,148.49,71
1,114.7,64
1,123.91,64
1,168.67,74
1,155.03,73
1,118.92,65
1,133.04,69
1,119.52,65
1,126.94,66
1,110.26,65
1,127.17,68
1,92.15,60
1,132,67
1,130.25,66
1,114.15,64
1,115.69,67
1,108.17,65
1,124.81,66
1,119.63,66
1,108.41,64
1,134.69,68
1,67.11,54
1,79.11,55
1,63.87,52
1,70.29,55
1,85.56,58
1,115.84,65
1,115.54,64
1,124.06,67
1,112.39,63
1,124.45,65
1,135.07,67
1,149.9,70
1,120.54,67
1,123.74,66
1,166.46,72
1,124.61,68
1,116.72,65
1,111.44,63
1,106.87,63
1,132.32,68
1,71.69,55
1,82.01,59
1,102.57,62
1,112.88,64
1,115.03,64
1,76.49,54
1,139.22,68
1,133.17,68
1,118.04,64
1,136.41,68
1,113.05,63
1,84.39,57
1,85.92,58
1,73.08,54
1,112.36,63
1,132.78,68
1,124.08,66
1,130.35,69
1,84.19,59
1,114.26,65
1,128.9,67
1,125.9,66
1,93.99,60
1,79.52,56
1,110.47,63
1,138.92,67
1,114.58,64
1,146.92,71
1,100.76,63
1,90.89,59
1,113.64,64
1,109.88,64
1,71.61,53
1,83.9,58
1,80.76,56
1,104.38,64
1,86.64,60
1,104.32,64
1,110.24,64
1,88.28,60
1,106.75,65
1,81.68,59
1,110.68,65
1,131.08,67
1,104.63,63
1,120.32,65
1,96.09,61
1,115.71,65
1,97.92,64
1,109.32,63
1,112.42,64
1,109.81,64
2,147.98,71
2,138.94,69
2,120.71,66
2,122.35,66
2,122.69,65
2,147.92,70
2,131.68,66
2,139.53,68
2,112.55,64
2,110.41,64
2,122.17,65
2,117.6,65
2,86.29,59
2,132.03,68
2,123.46,65
2,129.96,68
2,132.04,67
2,128.39,67
2,137.01,69
2,138.32,68
2,114.19,65
2,148.02,70
2,128.77,67
2,174.04,74
2,159.46,73
2,106.02,62
2,110.71,63
2,74.19,55
2,113.59,64
2,94.46,60
2,74.78,54
2,82.21,57
2,81.15,57
2,97.77,60
2,83.23,57
2,127.96,66
2,155.39,72
2,143.3,70
2,126.8,68
2,61.97,51
2,63.48,52
2,84.25,57
2,94.21,58
2,109.01,65
2,97.68,60
2,88.33,58
2,105.43,61
2,78.79,57
2,121.77,65
2,97.74,61
2,125.13,64
2,92.14,59
2,73.39,55
2,127.09,66
2,126.87,67
2,114.95,66
2,96.09,61
2,98.7,60
2,69.52,54
2,74.7,55
2,78.44,57
2,89.07,58
2,171.03,74
2,118.43,66
2,129.29,68
2,123.98,66
2,120.26,66
2,115.05,65
2,130.94,67
2,111.65,63
2,58.99,51
2,133.77,68
2,119.62,65
2,128.3,67
2,96.31,61
2,116.48,63
2,119.44,65
2,94.5,59
2,112.54,65
2,119.39,64
2,116.31,65
2,108.44,64
2,103.52,61
2,112.69,63
2,104.72,62
2,97.45,62
2,91.1,57
2,93.92,59
2,110.04,62
2,88.01,58
2,87.73,57
2,86.36,58
2,85.32,59
2,93.95,59
2,100.99,59
2,87.93,60
2,83.72,58
2,99.98,62
2,86.83,58
2,88.55,60
2,94.56,59
3,205.98,80
3,181.06,74
3,137.72,68
3,188.35,75
3,163.67,72
3,149.11,70
3,187.73,76
3,66.12,54
3,161.77,71
3,173.24,72
3,115.87,65
3,159.88,72
3,151.97,70
3,200.28,78
3,149.69,70
3,168.47,73
3,141.96,67
3,159.85,71
3,163.9,73
3,203.56,79
3,207.21,79
3,178.59,74
3,186.66,76
3,184.77,74
3,145,69
3,143.41,68
3,162.73,73
3,163.12,69
3,142.91,69
3,147.21,67
3,155.07,70
3,178.52,73
3,194.8,78
3,190.96,76
3,217.31,79
3,210.35,79
3,180.58,74
3,174.22,74
3,190.18,75
3,158.09,72
3,166.3,73
3,238.7,83
3,196.89,77
3,172.29,75
3,205.72,78
3,153.72,69
3,177.36,73
3,196.61,78
3,178.09,74
3,148.48,68
3,240.24,83
3,259.98,84
3,309.82,90
3,318.69,90
3,246.58,84
3,196.19,75
3,249.64,84
3,194.48,76
3,176.54,72
3,185.19,77
3,175.2,74
3,150.5,69
3,127.61,66
3,131.01,65
3,132.56,65
3,131.84,68
3,123.21,66
3,104.09,63
4,60.89,52
4,89.86,60
4,88.29,59
4,57.16,51
4,54.34,49
4,85.59,59
4,54.46,50
4,69.68,55
4,68.18,54
4,83.89,60
4,61.59,53
4,74.54,56
4,55.74,50
4,46.98,48
4,74.52,56
4,96.99,62
4,72.51,55
4,51.29,49
4,73.02,57
4,67.63,54
4,84.45,58
4,85.62,58
4,64.67,54
4,66.45,53
4,49.61,48
4,71.03,55
4,83.63,58
4,71.27,55
4,59.73,52
4,68.63,55
4,89.38,61
4,91.78,60
5,73.9,55
5,91.83,60
5,92.88,59
5,73.79,53
5,77.87,57
5,77.43,57
5,81.77,58
5,71.7,54
5,79.66,57
5,71.34,55
5,76.23,56
5,81.45,58
5,54.12,50
5,74.37,56
5,83.31,59
5,92.4,60
5,82.66,60
5,68.96,55
5,78.94,58
5,40.57,45
5,107.85,64
5,68.82,56
5,70.51,55
5,90.61,59
5,63.47,54
5,82.39,58
5,83.73,59
5,84.52,59
5,70.24,56
5,82.3,58
5,93.71,61
5,78.4,56
5,57.77,51
5,89.58,59
5,59.13,51
5,75.26,56
5,53.76,50
5,93.45,60
5,53.19,49
5,78.82,57
5,81.09,57
5,65.89,55
5,95.5,60
5,85.23,59
5,100.27,63
5,54.4,49
5,100.85,62
5,84.55,59
5,68.26,54
5,108.59,64
5,85.12,59
5,67.57,54
5,82.09,58
5,83.55,59
5,78.28,58
5,83.24,59
5,92.72,60
5,88.96,60
5,71.74,55
5,95.6,61
5,77.93,57
5,97.33,61
5,84.7,59
5,96.44,62
5,93.34,61
5,76.14,56
5,91.78,61
5,92.42,61
5,77.68,57
5,75.6,56
6,181.83,75
6,164.57,74
6,125.19,65
6,103.96,62
6,175.44,75
6,137.8,68
6,152.93,71
6,123.85,66
6,152.2,69
6,137.29,66
6,163.47,70
6,119.77,63
6,145.54,70
6,122.92,65
6,137.35,65
6,156.65,70
6,160.29,72
6,150.37,71
6,179.13,75
6,176.53,75
6,180.13,74
6,160.15,72
6,119.91,65
6,115.63,64
6,121.35,66
6,135.31,69
6,133.72,69
6,171.5,72
6,152.76,71
6,167.96,71
6,168.71,71
6,188.92,76
6,154,71
6,154.79,70
6,170.56,73
6,148.69,70
6,180.55,75
6,139.79,69
6,197.62,76
6,134.35,68
6,121.41,64
6,168.2,74
6,160.64,71
6,168.85,74
6,234.86,81
6,204.17,78
6,181.5,76
6,101.34,61
6,190.9,74
6,167.81,74
6,171.09,73
6,129.08,66
6,152.82,71
6,89.72,58
6,145.94,70
6,198.23,75
6,113.97,65
6,126.69,64
6,167.81,72
6,164.89,73
6,167.44,73
6,98.13,61
6,129.44,67
6,148.37,71
6,185.62,76
6,162.69,72
6,146.13,68
6,224.51,81
6,119.37,66
6,128.05,67
6,147.59,71
6,132.58,68
6,134.18,68
6,183.46,75
6,146.95,70
6,180.22,76
6,158.21,72
6,141.66,68
6,145.13,67
6,171.7,74
6,188.58,76
6,142.81,68
6,159.48,71
6,174.48,75
6,154.7,72
6,145.87,69
6,158.89,72
6,188.94,75
6,172.83,72
6,189.73,75
6,164.75,75
6,96.99,62
6,172.98,74
6,143.04,71
6,126.47,66
6,156.92,71
6,188.75,77
6,186.58,75
6,162.89,71
6,136.85,66
6,163.05,70
6,130.1,68
6,112,63
6,223.57,79
6,159.03,74
6,159.35,70
6,128.45,67
6,150.45,71
6,171.81,71
6,193.83,77
6,112.1,64
6,174.97,75
6,129.44,68
6,149.91,70
6,156.54,70
6,156.79,71
6,147.19,70
6,202.7,79
6,139.17,68
6,148.05,68
6,155.05,70
6,182.69,74
6,156.55,72
6,220.01,79
6,144.65,70
6,124.61,66
6,117.9,65
6,131.12,67
6,160.91,71
6,132.81,65
6,186.5,74
7,146.1,69
7,113.39,64
7,135.89,67
7,124.86,66
7,116.33,64
7,115.45,65
7,138.07,67
7,144.71,70
7,129.97,68
7,118.22,66
7,199.96,77
7,104.44,63
7,127.85,66
7,123.65,65
7,93.28,61
8,117.19,65
8,120.17,64
8,105.44,62
8,157.19,71
8,126.04,66
8,98.19,59
8,137.7,68
8,125.39,66
8,151.8,71
8,66.93,51
8,107.75,62
8,83.72,57
8,155.88,72
8,140.71,68
8,116.68,64
8,86.05,57
8,117.51,63
8,109.52,61
8,144.48,68
8,71.78,53
8,102.12,61
8,113.93,62
8,94.1,60
8,109.65,63
8,121.41,67
8,108.09,62
8,141.27,69
8,88.79,58
8,96.37,60
8,84.74,57
8,149.42,69
8,127.2,64
8,123.39,65
8,147.56,71
8,75.43,54
8,78.8,56
8,100.91,60
8,90.57,57
8,134.18,68
8,146.73,71
8,91.39,59
8,142.03,69
8,85.26,57
8,163.18,72
8,133.03,69
8,104.55,61
8,110.07,64
8,126.41,67
8,171.19,73
8,125.54,64
8,104.3,61
8,150.98,69
8,132.66,66
8,150.88,71
8,137.45,68
8,165.63,74
9,183.82,76
9,152,75
9,151.66,71
9,180.36,68
9,175.39,73
9,145.48,74
9,189.33,66
9,150.68,74
9,135.65,70
9,144.16,67
9,142.23,68
9,142.54,69
9,145.92,68
9,148.54,70
9,150.5,70
9,156.51,68
9,168.62,72
9,128,73
9,153.21,70
9,179.5,72
9,140.75,74
9,141.19,67
9,128.32,69
9,181.41,66
9,184.25,75
9,153.76,77
9,162.23,69
9,152.85,73
9,138.41,69
9,158.85,70
9,124.83,71
9,202.02,64
9,158.1,79
9,159.8,71
9,135.79,72
9,156.96,69
9,157.75,71
9,172.14,71
9,165.52,71
9,167.36,73
9,180.16,72
9,131.27,67
9,128.17,68
9,143.23,69
9,136.39,68
9,134.58,67
9,147.1,70
9,148.3,69
9,176.9,75
9,132.94,66
9,147.04,70
9,153.71,71
9,124.81,65
9,151.68,69
9,186.17,75
9,144.17,68
9,142.46,67
9,143.89,67
9,137.21,68
9,129.19,67
9,147.26,69
9,158.41,71
9,141.19,67
9,149.28,68
9,152.4,69
9,152.17,67
9,156.8,71
9,198.53,76
9,165.17,72
9,154.62,71
9,175.2,74
9,165.58,72
9,157.35,70
9,177.91,72
9,181.49,76
9,176.24,74
9,132.49,68
9,157.45,71
9,132.71,68
9,185.62,74
9,188.37,75
9,158.06,69
9,135.57,67
9,173.16,74
9,180.28,75
9,148.65,70
9,167.1,73
9,149.83,70
9,175.86,72
9,183.69,75
9,150.35,70
9,143.65,69
9,150.75,70
9,137.82,68
9,195.71,75
9,160.55,71
9,104.48,62
9,154.47,72
9,173.77,73
9,159.23,73
9,150.14,66
9,158.11,70
9,140.57,67
9,196.95,78
9,222.37,77
9,148.9,68
9,152.17,68
9,133.07,65
9,146.88,69
9,120.99,65
9,179.4,73
9,163.71,70
9,138.82,68
9,155.55,73
9,166.51,73
9,189.14,74
9,150.99,70
9,166.53,73
9,151.12,71
9,162.48,72
9,142.91,69
9,164.02,74
9,125.2,67
9,188.75,74
9,153.53,71
9,141.17,70
9,113.02,65
9,126.25,68
9,121.36,64
9,157.69,70
9,97.02,62
10,122.43,65
10,121.63,65
10,130.13,65
10,100.99,61
10,123.5,65
10,118.06,67
10,149.37,73
10,123.88,67
10,89.94,59
10,149.16,70
10,135.5,67
10,129.57,67
10,119.25,64
10,143.64,70
10,114.31,64
10,92.05,60
10,143.38,69
10,140.37,69
10,91.66,59
10,142.76,67
10,115.71,64
10,178.87,75
10,159.1,71
10,183.88,76
10,162.13,73
10,126.36,66
10,126.03,65
10,127.06,68
10,126.77,65
10,136.31,68
10,131.81,66
10,93.59,59
10,110.79,64
10,133.21,66
10,129.32,67
10,133.03,67
10,96.89,59
10,135.29,68
10,68.83,53
10,137.1,68
11,228.28,80
11,182.31,73
11,128.81,66
11,154.65,70
11,161.7,73
11,184.64,77
11,180.16,72
11,203.38,78
11,156.64,70
11,200.15,78
11,205.33,78
11,164.17,71
11,136.25,67
11,179.92,76
11,204.46,78
11,119.51,65
11,131.91,68
11,144.74,68
11,108.04,64
11,162.99,73
11,151.31,71
11,152.86,70
11,136.36,68
11,166.18,73
11,149.9,71
11,129.05,67
11,179.78,74
11,159.69,73
11,171.9,71
11,201.28,78
11,210.15,79
11,168.29,71
11,173.57,74
11,156.54,71
11,175.24,71
11,153.23,70
11,198.99,78
11,161.89,70
11,177.77,74
11,172.53,74
11,199.9,76
11,133.03,67
11,169.61,73
11,201.56,76
11,188,74
11,159.01,70
11,140.89,69
11,151.52,71
11,166.56,73
11,249.89,82
11,166.47,74
11,217.37,81
11,176.86,72
11,233.43,81
11,143.65,69
11,124.19,65
